,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
916,Mumbai Indians,2022/04/21,RG Sharma,Ishan Kishan,D Brevis,SA Yadav,Tilak Varma,HR Shokeen,KA Pollard,DR Sams,JD Unadkat,RP Meredith,JJ Bumrah
917,Chennai Super Kings,2022/04/21,RD Gaikwad,RV Uthappa,MJ Santner,AT Rayudu,S Dube,RA Jadeja,MS Dhoni,D Pretorius,DJ Bravo,Mukesh Choudhary,M Theekshana
918,Chennai Super Kings,2018/05/03,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,RA Jadeja,KV Sharma,DJ Bravo,Harbhajan Singh,KM Asif,L Ngidi
919,Kolkata Knight Riders,2018/05/03,CA Lynn,SP Narine,RV Uthappa,Shubman Gill,RK Singh,KD Karthik,AD Russell,Shivam Mavi,PP Chawla,MG Johnson,Kuldeep Yadav
920,Mumbai Indians,2019/04/20,Q de Kock,RG Sharma,SA Yadav,HH Pandya,KA Pollard,BCJ Cutting,KH Pandya,RD Chahar,JJ Bumrah,SL Malinga,M Markande
921,Rajasthan Royals,2019/04/20,AM Rahane,SV Samson,SPD Smith,BA Stokes,R Parag,AJ Turner,STR Binny,JC Archer,S Gopal,JD Unadkat,DS Kulkarni
922,Mumbai Indians,2017/04/16,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,HH Pandya,KH Pandya,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
923,Gujarat Lions,2017/04/16,DR Smith,BB McCullum,SK Raina,Ishan Kishan,KD Karthik,JJ Roy,RA Jadeja,P Kumar,Basil Thampi,AJ Tye,MM Patel
924,Kolkata Knight Riders,2013/05/03,G Gambhir,MS Bisla,JH Kallis,YK Pathan,EJG Morgan,DB Das,R Bhatia,S Narwal,SMSM Senanayake,Iqbal Abdulla,SP Narine
925,Rajasthan Royals,2013/05/03,SR Watson,AM Rahane,JP Faulkner,SV Samson,DH Yagnik,OA Shah,STR Binny,R Dravid,AA Chavan,GB Hogg,SK Trivedi
926,Pune Warriors,2013/04/17,RV Uthappa,AJ Finch,TL Suman,SPD Smith,AD Mathews,MR Marsh,AM Nayar,MK Pandey,B Kumar,R Sharma,AB Dinda
927,Sunrisers Hyderabad,2013/04/17,PA Patel,Q de Kock,GH Vihari,CL White,BB Samantray,KV Sharma,NLTC Perera,A Mishra,A Ashish Reddy,DW Steyn,I Sharma
928,Kolkata Knight Riders,2016/05/04,RV Uthappa,G Gambhir,YK Pathan,AD Russell,MK Pandey,SA Yadav,Shakib Al Hasan,GB Hogg,PP Chawla,M Morkel,UT Yadav
929,Kings XI Punjab,2016/05/04,M Vijay,MP Stoinis,M Vohra,WP Saha,GJ Maxwell,DA Miller,Gurkeerat Singh,AR Patel,Swapnil Singh,MM Sharma,Sandeep Sharma
930,Sunrisers Hyderabad,2020/10/08,DA Warner,JM Bairstow,Abdul Samad,MK Pandey,KS Williamson,PK Garg,Abhishek Sharma,Rashid Khan,Sandeep Sharma,KK Ahmed,T Natarajan
931,Kings XI Punjab,2020/10/08,KL Rahul,MA Agarwal,P Simran Singh,N Pooran,GJ Maxwell,Mandeep Singh,Mujeeb Ur Rahman,Ravi Bishnoi,Mohammed Shami,SS Cottrell,Arshdeep Singh
932,Kolkata Knight Riders,2018/04/14,RV Uthappa,CA Lynn,N Rana,SP Narine,KD Karthik,AD Russell,Shubman Gill,Shivam Mavi,MG Johnson,PP Chawla,Kuldeep Yadav
933,Sunrisers Hyderabad,2018/04/14,WP Saha,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,DJ Hooda,YK Pathan,B Kumar,Rashid Khan,S Kaul,B Stanlake
934,Chennai Super Kings,2010/03/31,M Vijay,ML Hayden,SK Raina,MS Dhoni,JA Morkel,S Badrinath,C Ganapathy,MS Gony,M Muralitharan,T Thushara,SB Jakati
935,Royal Challengers Bangalore,2010/03/31,MK Pandey,JH Kallis,RV Uthappa,V Kohli,KP Pietersen,CL White,R Dravid,P Kumar,A Kumble,DW Steyn,R Vinay Kumar
936,Sunrisers Hyderabad,2014/04/25,S Dhawan,AJ Finch,DA Warner,KL Rahul,DJG Sammy,Y Venugopal Rao,KV Sharma,NV Ojha,DW Steyn,A Mishra,B Kumar
937,Delhi Daredevils,2014/04/25,Q de Kock,M Vijay,KP Pietersen,KD Karthik,JP Duminy,MK Tiwary,LR Shukla,WD Parnell,S Nadeem,Mohammed Shami,JD Unadkat
938,Royal Challengers Bangalore,2016/05/29,CH Gayle,V Kohli,AB de Villiers,KL Rahul,SR Watson,Sachin Baby,STR Binny,CJ Jordan,Iqbal Abdulla,S Aravind,YS Chahal
939,Sunrisers Hyderabad,2016/05/29,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,BB Sran,Mustafizur Rahman
940,Delhi Capitals,2020/10/05,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,AR Patel,R Ashwin,K Rabada,A Nortje,HV Patel
941,Royal Challengers Bangalore,2020/10/05,D Padikkal,AJ Finch,V Kohli,AB de Villiers,MM Ali,Washington Sundar,S Dube,I Udana,NA Saini,Mohammed Siraj,YS Chahal
942,Chennai Super Kings,2008/05/21,PA Patel,SP Fleming,MS Dhoni,SK Raina,S Badrinath,JA Morkel,S Vidyut,MS Gony,L Balaji,M Ntini,M Muralitharan
943,Royal Challengers Bangalore,2008/05/21,JH Kallis,SP Goswami,V Kohli,R Dravid,Misbah-ul-Haq,MV Boucher,B Akhil,P Kumar,R Vinay Kumar,A Kumble,DW Steyn
944,Royal Challengers Bangalore,2016/05/07,V Kohli,KL Rahul,AB de Villiers,SR Watson,TM Head,Sachin Baby,STR Binny,Parvez Rasool,CJ Jordan,VR Aaron,YS Chahal
945,Rising Pune Supergiants,2016/05/07,AM Rahane,UT Khawaja,SS Tiwary,MS Dhoni,NLTC Perera,GJ Bailey,R Bhatia,R Ashwin,A Zampa,AB Dinda,RP Singh
946,Lucknow Super Giants,2022/04/24,Q de Kock,KL Rahul,MK Pandey,MP Stoinis,KH Pandya,DJ Hooda,A Badoni,JO Holder,PVD Chameera,Ravi Bishnoi,Mohsin Khan (2)
947,Mumbai Indians,2022/04/24,Ishan Kishan,RG Sharma,D Brevis,SA Yadav,Tilak Varma,KA Pollard,DR Sams,JD Unadkat,HR Shokeen,JJ Bumrah,RP Meredith
948,Rajasthan Royals,2018/05/08,AM Rahane,JC Buttler,K Gowtham,SV Samson,BA Stokes,STR Binny,MK Lomror,JC Archer,JD Unadkat,IS Sodhi,Anureet Singh
949,Kings XI Punjab,2018/05/08,KL Rahul,CH Gayle,R Ashwin,KK Nair,AD Nath,MK Tiwary,AR Patel,MP Stoinis,AJ Tye,MM Sharma,Mujeeb Ur Rahman
950,Kings XI Punjab,2016/05/07,M Vijay,MP Stoinis,HM Amla,WP Saha,GJ Maxwell,DA Miller,AR Patel,Gurkeerat Singh,MM Sharma,Sandeep Sharma,KC Cariappa
951,Delhi Daredevils,2016/05/07,Q de Kock,SV Samson,KK Nair,SW Billings,CR Brathwaite,CH Morris,RR Pant,A Mishra,Mohammed Shami,Z Khan,S Nadeem
952,Kolkata Knight Riders,2011/04/17,JH Kallis,MS Bisla,G Gambhir,MK Tiwary,YK Pathan,EJG Morgan,Shakib Al Hasan,Iqbal Abdulla,R Bhatia,B Lee,L Balaji
953,Rajasthan Royals,2011/04/17,SR Watson,AG Paunikar,FY Fazal,AS Raut,AL Menaria,LRPL Taylor,AM Rahane,SK Warne,A Singh,SW Tait,SK Trivedi
954,Delhi Daredevils,2017/04/15,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,PJ Cummins,A Mishra,Z Khan,S Nadeem
955,Kings XI Punjab,2017/04/15,M Vohra,HM Amla,WP Saha,EJG Morgan,DA Miller,GJ Maxwell,AR Patel,MM Sharma,KC Cariappa,Sandeep Sharma,VR Aaron
956,Kochi Tuskers Kerala,2011/04/18,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,RA Jadeja,KM Jadhav,NLTC Perera,RV Gomez,R Vinay Kumar,RP Singh,RR Powar
957,Chennai Super Kings,2011/04/18,MEK Hussey,M Vijay,SK Raina,S Badrinath,MS Dhoni,JA Morkel,S Anirudha,R Ashwin,SB Jakati,TG Southee,DE Bollinger
958,Royal Challengers Bangalore,2009/05/19,RV Uthappa,JH Kallis,R Dravid,LRPL Taylor,MV Boucher,V Kohli,RE van der Merwe,P Kumar,B Akhil,A Kumble,MK Pandey
959,Delhi Daredevils,2009/05/19,G Gambhir,V Sehwag,M Manhas,AB de Villiers,KD Karthik,AB McDonald,Y Nagar,MF Maharoof,DL Vettori,AM Salvi,A Nehra
960,Kolkata Knight Riders,2012/04/28,BB McCullum,G Gambhir,JH Kallis,YK Pathan,MK Tiwary,LR Shukla,R Bhatia,DB Das,SP Narine,B Lee,Iqbal Abdulla
961,Royal Challengers Bangalore,2012/04/28,TM Dilshan,CH Gayle,V Kohli,AB de Villiers,SS Tiwary,MA Agarwal,DL Vettori,R Vinay Kumar,Z Khan,HV Patel,KP Appanna
962,Mumbai Indians,2010/03/30,S Dhawan,SR Tendulkar,KA Pollard,SS Tiwary,AT Rayudu,DJ Bravo,R Sathish,Harbhajan Singh,R McLaren,Z Khan,SL Malinga
963,Kings XI Punjab,2010/03/30,RS Bopara,SE Marsh,MS Bisla,DPMD Jayawardene,Yuvraj Singh,IK Pathan,B Lee,K Goel,PP Chawla,VS Malik,SJ Srivastava
964,Mumbai Indians,2010/03/20,ST Jayasuriya,SR Tendulkar,AP Tare,SS Tiwary,AT Rayudu,DJ Bravo,R Sathish,KA Pollard,Harbhajan Singh,Z Khan,SL Malinga
965,Royal Challengers Bangalore,2010/03/20,MK Pandey,JH Kallis,RV Uthappa,V Kohli,EJG Morgan,R Dravid,MV Boucher,P Kumar,A Kumble,DW Steyn,R Vinay Kumar
966,Delhi Capitals,2021/10/08,PP Shaw,S Dhawan,RR Pant,SS Iyer,SO Hetmyer,RV Patel,AR Patel,R Ashwin,K Rabada,Avesh Khan,A Nortje
967,Royal Challengers Bangalore,2021/10/08,V Kohli,D Padikkal,KS Bharat,AB de Villiers,GJ Maxwell,DT Christian,Shahbaz Ahmed,GHS Garton,HV Patel,Mohammed Siraj,YS Chahal
968,Chennai Super Kings,2010/03/21,PA Patel,ML Hayden,SK Raina,M Vijay,S Badrinath,JA Morkel,MS Gony,R Ashwin,JM Kemp,L Balaji,M Muralitharan
969,Kings XI Punjab,2010/03/21,RS Bopara,IK Pathan,KC Sangakkara,DPMD Jayawardene,Yuvraj Singh,M Kaif,MS Bisla,PP Chawla,J Theron,RR Powar,SJ Srivastava
970,Royal Challengers Bangalore,2009/05/12,JD Ryder,JH Kallis,RV Uthappa,LRPL Taylor,R Dravid,MV Boucher,V Kohli,B Akhil,KP Appanna,R Vinay Kumar,A Kumble
971,Kolkata Knight Riders,2009/05/12,BB McCullum,SC Ganguly,AN Ghosh,DJ Hussey,AD Mathews,WP Saha,Yashpal Singh,AB Agarkar,M Kartik,I Sharma,BAW Mendis
972,Kolkata Knight Riders,2010/04/04,SC Ganguly,CH Gayle,MK Tiwary,AD Mathews,DJ Hussey,CA Pujara,WP Saha,AB Agarkar,M Kartik,SE Bond,JD Unadkat
973,Kings XI Punjab,2010/04/04,MS Bisla,DPMD Jayawardene,KC Sangakkara,Yuvraj Singh,RS Bopara,IK Pathan,J Theron,PP Chawla,SJ Srivastava,Bipul Sharma,RR Powar
974,Sunrisers Hyderabad,2018/05/22,S Dhawan,SP Goswami,KS Williamson,MK Pandey,Shakib Al Hasan,YK Pathan,CR Brathwaite,B Kumar,Rashid Khan,S Kaul,Sandeep Sharma
975,Chennai Super Kings,2018/05/22,SR Watson,F du Plessis,SK Raina,AT Rayudu,MS Dhoni,DJ Bravo,RA Jadeja,DL Chahar,Harbhajan Singh,SN Thakur,L Ngidi
976,Delhi Daredevils,2013/05/10,DPMD Jayawardene,V Sehwag,UBT Chand,DA Warner,BJ Rohrer,KM Jadhav,IK Pathan,M Morkel,UT Yadav,S Nadeem,S Kaul
977,Royal Challengers Bangalore,2013/05/10,CA Pujara,CH Gayle,V Kohli,MC Henriques,AB de Villiers,SS Tiwary,J Syed Mohammad,R Vinay Kumar,R Rampaul,M Kartik,JD Unadkat
978,Delhi Daredevils,2013/04/21,DPMD Jayawardene,V Sehwag,DA Warner,Y Venugopal Rao,KM Jadhav,RE van der Merwe,IK Pathan,AD Russell,AB Agarkar,S Nadeem,UT Yadav
979,Mumbai Indians,2013/04/21,DR Smith,SR Tendulkar,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,RT Ponting,Harbhajan Singh,JJ Bumrah,MM Patel,SL Malinga
980,Gujarat Titans,2022/04/14,MS Wade,Shubman Gill,V Shankar,HH Pandya,A Manohar,DA Miller,R Tewatia,Rashid Khan,Mohammed Shami,LH Ferguson,Yash Dayal
981,Rajasthan Royals,2022/04/14,JC Buttler,D Padikkal,R Ashwin,SV Samson,HE van der Dussen,SO Hetmyer,R Parag,JDS Neesham,M Prasidh Krishna,YS Chahal,KR Sen
982,Kolkata Knight Riders,2009/04/23,CH Gayle,BB McCullum,LR Shukla,BJ Hodge,SC Ganguly,SB Bangar,Yashpal Singh,AB Agarkar,I Sharma,BAW Mendis,Anureet Singh
983,Rajasthan Royals,2009/04/23,GC Smith,PC Valthaty,RJ Quiney,YK Pathan,RA Jadeja,AD Mascarenhas,AS Raut,SK Warne,M Rawat,MM Patel,Kamran Khan
984,Punjab Kings,2022/04/17,S Dhawan,P Simran Singh,JM Bairstow,LS Livingstone,JM Sharma,M Shahrukh Khan,OF Smith,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
985,Sunrisers Hyderabad,2022/04/17,Abhishek Sharma,KS Williamson,RA Tripathi,AK Markram,N Pooran,Shashank Singh,J Suchith,B Kumar,M Jansen,T Natarajan,Umran Malik
986,Mumbai Indians,2014/04/16,MEK Hussey,AP Tare,AT Rayudu,RG Sharma,KA Pollard,CJ Anderson,Harbhajan Singh,CM Gautam,SL Malinga,Z Khan,PP Ojha
987,Kolkata Knight Riders,2014/04/16,G Gambhir,JH Kallis,MK Pandey,RV Uthappa,YK Pathan,Shakib Al Hasan,SA Yadav,PP Chawla,R Vinay Kumar,SP Narine,M Morkel
988,Chennai Super Kings,2008/05/24,PA Patel,SP Fleming,SK Raina,JA Morkel,MS Dhoni,S Badrinath,MS Gony,A Mukund,L Balaji,M Muralitharan,M Ntini
989,Rajasthan Royals,2008/05/24,GC Smith,SA Asnodkar,Kamran Akmal,YK Pathan,M Kaif,T Kohli,D Salunkhe,SK Warne,Sohail Tanvir,Pankaj Singh,MM Patel
990,Kolkata Knight Riders,2008/04/29,BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey,Mohammad Hafeez,LR Shukla,AB Agarkar,M Kartik,I Sharma,AB Dinda
991,Mumbai Indians,2008/04/29,AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,SM Pollock,AM Nayar,A Nehra,DS Kulkarni,CRD Fernando,PR Shah
992,Delhi Daredevils,2010/03/19,DA Warner,V Sehwag,TM Dilshan,KD Karthik,AB de Villiers,M Manhas,R Bhatia,A Mishra,PJ Sangwan,DP Nannes,UT Yadav
993,Chennai Super Kings,2010/03/19,PA Patel,ML Hayden,S Badrinath,SK Raina,JA Morkel,JM Kemp,M Vijay,R Ashwin,L Balaji,M Muralitharan,Joginder Sharma
994,Kings XI Punjab,2015/04/27,M Vijay,M Vohra,SE Marsh,GJ Bailey,DA Miller,WP Saha,AR Patel,R Dhawan,MG Johnson,Anureet Singh,Sandeep Sharma
995,Sunrisers Hyderabad,2015/04/27,DA Warner,S Dhawan,GH Vihari,MC Henriques,NV Ojha,RS Bopara,A Ashish Reddy,KV Sharma,P Kumar,B Kumar,TA Boult
996,Rajasthan Royals,2008/05/11,YK Pathan,GC Smith,M Kaif,SR Watson,RA Jadeja,AD Mascarenhas,SK Warne,Niraj Patel,M Rawat,SK Trivedi,MM Patel
997,Delhi Daredevils,2008/05/11,G Gambhir,V Sehwag,S Dhawan,AB de Villiers,KD Karthik,TM Dilshan,A Mishra,MF Maharoof,VY Mahesh,GD McGrath,PJ Sangwan
998,Chennai Super Kings,2009/05/04,M Vijay,ML Hayden,MS Dhoni,SK Raina,JA Morkel,JDP Oram,S Badrinath,S Tyagi,SB Jakati,L Balaji,M Muralitharan
999,Deccan Chargers,2009/05/04,AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma,DR Smith,TL Suman,Y Venugopal Rao,RJ Harris,RP Singh,Shoaib Ahmed,PP Ojha
1000,Kings XI Punjab,2014/05/21,V Sehwag,M Vohra,SE Marsh,GJ Maxwell,GJ Bailey,WP Saha,AR Patel,R Dhawan,BE Hendricks,Shivam Sharma,Sandeep Sharma
1001,Mumbai Indians,2014/05/21,LMP Simmons,MEK Hussey,AT Rayudu,RG Sharma,KA Pollard,AP Tare,JJ Bumrah,K Santokie,P Kumar,PP Ojha,S Gopal
1002,Kings XI Punjab,2017/04/30,MJ Guptill,HM Amla,M Vohra,SE Marsh,GJ Maxwell,WP Saha,AR Patel,MM Sharma,VR Aaron,Sandeep Sharma,T Natarajan
1003,Delhi Daredevils,2017/04/30,SV Samson,SW Billings,KK Nair,SS Iyer,RR Pant,CJ Anderson,CH Morris,K Rabada,A Mishra,Mohammed Shami,S Nadeem
1004,Rising Pune Supergiants,2016/04/24,AM Rahane,F du Plessis,SPD Smith,NLTC Perera,JA Morkel,MS Dhoni,R Bhatia,SS Tiwary,R Ashwin,Ankit Sharma,M Ashwin
1005,Kolkata Knight Riders,2016/04/24,RV Uthappa,G Gambhir,SA Yadav,Shakib Al Hasan,YK Pathan,AD Russell,R Sathish,PP Chawla,UT Yadav,SP Narine,M Morkel
1006,Delhi Daredevils,2009/05/17,G Gambhir,V Sehwag,AB de Villiers,TM Dilshan,KD Karthik,A Mishra,M Manhas,MF Maharoof,AM Salvi,A Nehra,DP Nannes
1007,Rajasthan Royals,2009/05/17,RJ Quiney,GC Smith,NV Ojha,J Botha,RA Jadeja,YK Pathan,AS Raut,SK Warne,A Singh,SK Trivedi,MM Patel
1008,Kochi Tuskers Kerala,2011/05/13,BB McCullum,DPMD Jayawardene,RA Jadeja,BJ Hodge,OA Shah,PA Patel,RV Gomez,R Vinay Kumar,RP Singh,P Parameswaran,S Sreesanth
1009,Kings XI Punjab,2011/05/13,AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik,DJ Hussey,Mandeep Singh,Bipul Sharma,SJ Srivastava,PP Chawla,RJ Harris,BA Bhatt
1010,Kolkata Knight Riders,2019/03/27,CA Lynn,SP Narine,RV Uthappa,N Rana,AD Russell,KD Karthik,Shubman Gill,PP Chawla,Kuldeep Yadav,M Prasidh Krishna,LH Ferguson
1011,Kings XI Punjab,2019/03/27,KL Rahul,CH Gayle,MA Agarwal,SN Khan,DA Miller,Mandeep Singh,R Ashwin,GC Viljoen,CV Varun,Mohammed Shami,AJ Tye
1012,Delhi Daredevils,2013/04/12,DA Warner,V Sehwag,DPMD Jayawardene,MC Juneja,J Botha,IK Pathan,KM Jadhav,M Morkel,S Nadeem,UT Yadav,S Kaul
1013,Sunrisers Hyderabad,2013/04/12,PA Reddy,PA Patel,KC Sangakkara,GH Vihari,CL White,NLTC Perera,A Ashish Reddy,A Mishra,DW Steyn,I Sharma,Anand Rajan
1014,Kings XI Punjab,2009/05/05,S Sohal,KC Sangakkara,K Goel,SM Katich,DPMD Jayawardene,Yuvraj Singh,IK Pathan,PP Chawla,RR Powar,S Sreesanth,YA Abdulla
1015,Rajasthan Royals,2009/05/05,NV Ojha,GC Smith,YK Pathan,RA Jadeja,LA Carseldine,AS Raut,Niraj Patel,SK Warne,SM Harwood,SK Trivedi,A Singh
1016,Royal Challengers Bangalore,2021/04/18,V Kohli,D Padikkal,RM Patidar,GJ Maxwell,AB de Villiers,KA Jamieson,Washington Sundar,Shahbaz Ahmed,HV Patel,Mohammed Siraj,YS Chahal
1017,Kolkata Knight Riders,2021/04/18,N Rana,Shubman Gill,RA Tripathi,EJG Morgan,KD Karthik,Shakib Al Hasan,AD Russell,PJ Cummins,Harbhajan Singh,CV Varun,M Prasidh Krishna
1018,Mumbai Indians,2014/05/06,BR Dunk,CM Gautam,AT Rayudu,RG Sharma,CJ Anderson,KA Pollard,AP Tare,Harbhajan Singh,JJ Bumrah,SL Malinga,P Suyal
1019,Royal Challengers Bangalore,2014/05/06,CH Gayle,PA Patel,V Kohli,AB de Villiers,Yuvraj Singh,RR Rossouw,MA Starc,HV Patel,VR Aaron,AB Dinda,YS Chahal
1020,Mumbai Indians,2017/04/22,PA Patel,JC Buttler,N Rana,RG Sharma,KA Pollard,KH Pandya,HH Pandya,Harbhajan Singh,MJ McClenaghan,MG Johnson,JJ Bumrah
1021,Delhi Daredevils,2017/04/22,SV Samson,AP Tare,KK Nair,SS Iyer,CJ Anderson,RR Pant,K Rabada,CH Morris,PJ Cummins,A Mishra,Z Khan
1022,Royal Challengers Bangalore,2020/09/21,D Padikkal,AJ Finch,V Kohli,AB de Villiers,S Dube,JR Philippe,Washington Sundar,UT Yadav,NA Saini,DW Steyn,YS Chahal
1023,Sunrisers Hyderabad,2020/09/21,DA Warner,JM Bairstow,MK Pandey,PK Garg,V Shankar,Abhishek Sharma,Rashid Khan,B Kumar,Sandeep Sharma,MR Marsh,T Natarajan
1024,Rajasthan Royals,2019/04/07,AM Rahane,JC Buttler,SPD Smith,RA Tripathi,BA Stokes,P Chopra,K Gowtham,JC Archer,S Gopal,S Midhun,DS Kulkarni
1025,Kolkata Knight Riders,2019/04/07,CA Lynn,SP Narine,RV Uthappa,Shubman Gill,N Rana,KD Karthik,AD Russell,PP Chawla,Kuldeep Yadav,HF Gurney,M Prasidh Krishna
1026,Kolkata Knight Riders,2016/05/22,RV Uthappa,G Gambhir,C Munro,MK Pandey,YK Pathan,JO Holder,Shakib Al Hasan,SA Yadav,AS Rajpoot,SP Narine,Kuldeep Yadav
1027,Sunrisers Hyderabad,2016/05/22,S Dhawan,DA Warner,NV Ojha,Yuvraj Singh,KS Williamson,DJ Hooda,MC Henriques,KV Sharma,B Kumar,BB Sran,Mustafizur Rahman
1028,Royal Challengers Bangalore,2015/04/19,CH Gayle,MS Bisla,V Kohli,KD Karthik,AB de Villiers,RR Rossouw,D Wiese,Iqbal Abdulla,AN Ahmed,VR Aaron,YS Chahal
1029,Mumbai Indians,2015/04/19,LMP Simmons,PA Patel,UBT Chand,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,HH Pandya,JJ Bumrah,MJ McClenaghan,SL Malinga
1030,Mumbai Indians,2015/04/25,LMP Simmons,PA Patel,UBT Chand,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,J Suchith,R Vinay Kumar,MJ McClenaghan,SL Malinga
1031,Sunrisers Hyderabad,2015/04/25,S Dhawan,DA Warner,KL Rahul,NV Ojha,RS Bopara,GH Vihari,KV Sharma,P Kumar,DW Steyn,B Kumar,TA Boult
1032,Deccan Chargers,2012/05/10,DJ Harris,S Dhawan,KC Sangakkara,CL White,JP Duminy,PA Patel,Ankit Sharma,A Ashish Reddy,A Mishra,MS Gony,TP Sudhindra
1033,Delhi Daredevils,2012/05/10,V Sehwag,DA Warner,NV Ojha,DPMD Jayawardene,Y Nagar,AD Russell,Y Venugopal Rao,IK Pathan,M Morkel,S Nadeem,VR Aaron
1034,Rajasthan Royals,2011/04/12,AG Paunikar,R Dravid,J Botha,AL Menaria,AM Rahane,LRPL Taylor,AS Raut,SK Warne,A Singh,SK Trivedi,SW Tait
1035,Delhi Daredevils,2011/04/12,DA Warner,V Sehwag,AJ Finch,UBT Chand,NV Ojha,Y Venugopal Rao,IK Pathan,RE van der Merwe,M Morkel,S Nadeem,AB Dinda
1036,Sunrisers Hyderabad,2017/04/09,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,DJ Hooda,BCJ Cutting,NV Ojha,Bipul Sharma,B Kumar,A Nehra,Rashid Khan
1037,Gujarat Lions,2017/04/09,JJ Roy,BB McCullum,SK Raina,AJ Finch,KD Karthik,DR Smith,DS Kulkarni,P Kumar,Basil Thampi,Tejas Baroka,S Kaushik
1038,Sunrisers Hyderabad,2018/05/25,WP Saha,S Dhawan,KS Williamson,Shakib Al Hasan,DJ Hooda,YK Pathan,CR Brathwaite,Rashid Khan,B Kumar,S Kaul,KK Ahmed
1039,Kolkata Knight Riders,2018/05/25,CA Lynn,SP Narine,N Rana,RV Uthappa,KD Karthik,Shubman Gill,AD Russell,PP Chawla,Shivam Mavi,Kuldeep Yadav,M Prasidh Krishna
1040,Punjab Kings,2021/04/18,KL Rahul,MA Agarwal,CH Gayle,DJ Hooda,N Pooran,M Shahrukh Khan,Jalaj S Saxena,JA Richardson,Mohammed Shami,RP Meredith,Arshdeep Singh
1041,Delhi Capitals,2021/04/18,PP Shaw,S Dhawan,SPD Smith,RR Pant,MP Stoinis,Lalit Yadav,LI Meriwala,CR Woakes,R Ashwin,K Rabada,Avesh Khan
1042,Lucknow Super Giants,2022/05/07,Q de Kock,KL Rahul,DJ Hooda,KH Pandya,A Badoni,MP Stoinis,JO Holder,PVD Chameera,Avesh Khan,Mohsin Khan (2),Ravi Bishnoi
1043,Kolkata Knight Riders,2022/05/07,B Indrajith,AJ Finch,SS Iyer,N Rana,RK Singh,AD Russell,SP Narine,AS Roy,Shivam Mavi,TG Southee,Harshit Rana
1044,Delhi Daredevils,2016/04/23,Q de Kock,SS Iyer,SV Samson,KK Nair,JP Duminy,P Negi,CH Morris,Z Khan,A Mishra,Mohammed Shami,Imran Tahir
1045,Mumbai Indians,2016/04/23,RG Sharma,PA Patel,AT Rayudu,KH Pandya,JC Buttler,KA Pollard,HH Pandya,Harbhajan Singh,TG Southee,MJ McClenaghan,JJ Bumrah
1046,Rising Pune Supergiants,2016/05/21,AM Rahane,UT Khawaja,GJ Bailey,SS Tiwary,MS Dhoni,IK Pathan,NLTC Perera,R Ashwin,A Zampa,AB Dinda,DL Chahar
1047,Kings XI Punjab,2016/05/21,HM Amla,M Vijay,WP Saha,Gurkeerat Singh,DA Miller,F Behardien,AR Patel,R Dhawan,KJ Abbott,MM Sharma,Sandeep Sharma
1048,Kings XI Punjab,2014/05/25,V Sehwag,M Vohra,GJ Maxwell,DA Miller,GJ Bailey,WP Saha,AR Patel,MG Johnson,R Dhawan,Karanveer Singh,P Awana
1049,Delhi Daredevils,2014/05/25,KP Pietersen,MA Agarwal,KD Karthik,KM Jadhav,MK Tiwary,JP Duminy,JDS Neesham,S Nadeem,Mohammed Shami,Imran Tahir,JD Unadkat
1050,Royal Challengers Bangalore,2022/04/19,Anuj Rawat,F du Plessis,V Kohli,GJ Maxwell,SS Prabhudessai,Shahbaz Ahmed,KD Karthik,HV Patel,PWH de Silva,JR Hazlewood,Mohammed Siraj
1051,Lucknow Super Giants,2022/04/19,Q de Kock,KL Rahul,MK Pandey,KH Pandya,DJ Hooda,A Badoni,MP Stoinis,JO Holder,PVD Chameera,Ravi Bishnoi,Avesh Khan
1052,Kings XI Punjab,2018/05/20,KL Rahul,CH Gayle,AJ Finch,MK Tiwary,DA Miller,KK Nair,AR Patel,R Ashwin,AJ Tye,MM Sharma,AS Rajpoot
1053,Chennai Super Kings,2018/05/20,AT Rayudu,F du Plessis,SK Raina,SW Billings,Harbhajan Singh,DL Chahar,MS Dhoni,DJ Bravo,RA Jadeja,SN Thakur,L Ngidi
